year,gender,destination,origin,movers,is_intra,source_sheet,source_row_number,origin_capital,destination_capital,flow_block
2025,all,울산,세종,188,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,울산,경기,4628,False,6.전입출지별(이동자),12,True,False,capital_to_noncapital
2025,all,울산,강원,707,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,울산,충북,787,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,울산,충남,1182,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,울산,전북,573,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,울산,전남,1005,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,울산,경북,6766,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,울산,경남,6773,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,울산,제주,458,False,6.전입출지별(이동자),12,False,False,noncapital_to_noncapital
2025,all,세종,서울,4548,False,6.전입출지별(이동자),13,True,False,capital_to_noncapital
2025,all,세종,부산,820,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,대구,598,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,인천,947,False,6.전입출지별(이동자),13,True,False,capital_to_noncapital
2025,all,세종,광주,612,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,대전,7508,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,울산,296,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,경기,5306,False,6.전입출지별(이동자),13,True,False,capital_to_noncapital
2025,all,세종,강원,660,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,충북,3465,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,충남,4601,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,전북,1149,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,전남,685,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,경북,944,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,경남,829,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,세종,제주,380,False,6.전입출지별(이동자),13,False,False,noncapital_to_noncapital
2025,all,경기,서울,276867,False,6.전입출지별(이동자),14,True,True,capital_to_capital
2025,all,경기,부산,15050,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,대구,12041,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,인천,57580,False,6.전입출지별(이동자),14,True,True,capital_to_capital
2025,all,경기,광주,9116,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,대전,14290,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,울산,5912,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,세종,5176,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,강원,26138,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,충북,19532,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,충남,33030,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,전북,14203,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,전남,11644,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,경북,17663,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,경남,15641,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,경기,제주,7929,False,6.전입출지별(이동자),14,False,True,noncapital_to_capital
2025,all,강원,서울,16405,False,6.전입출지별(이동자),15,True,False,capital_to_noncapital
2025,all,강원,부산,1729,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,강원,대구,1618,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,강원,인천,4206,False,6.전입출지별(이동자),15,True,False,capital_to_noncapital
2025,all,강원,광주,744,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,강원,대전,1907,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,강원,울산,768,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
2025,all,강원,세종,576,False,6.전입출지별(이동자),15,False,False,noncapital_to_noncapital
